cell_id,Cell,Batch,Cell_type,ExpLibSize,Group
Cell2033,Cell2033,Sample3,Cell_type1,54049.8206446835,Group1
Cell2035,Cell2035,Sample3,Cell_type3,32662.7019079929,Group3
Cell2037,Cell2037,Sample3,Cell_type2,53070.3009790148,Group2
Cell2039,Cell2039,Sample3,Cell_type1,45038.2486255944,Group1
Cell2041,Cell2041,Sample3,Cell_type3,47341.8123078039,Group3
Cell2043,Cell2043,Sample3,Cell_type3,57912.0250459574,Group3
Cell2045,Cell2045,Sample3,Cell_type3,70901.5977767286,Group3
Cell2047,Cell2047,Sample3,Cell_type3,64250.2353936961,Group3
Cell2049,Cell2049,Sample3,Cell_type1,66890.3246707882,Group1
Cell2051,Cell2051,Sample3,Cell_type1,45616.9253657153,Group1
Cell2053,Cell2053,Sample3,Cell_type3,87004.2421685871,Group3
Cell2055,Cell2055,Sample3,Cell_type2,78951.4206299239,Group2
Cell2057,Cell2057,Sample3,Cell_type2,69379.3775697328,Group2
Cell2059,Cell2059,Sample3,Cell_type3,66347.6132936215,Group3
Cell2061,Cell2061,Sample3,Cell_type3,68680.0313721983,Group3
Cell2063,Cell2063,Sample3,Cell_type3,53815.3329701315,Group3
Cell2065,Cell2065,Sample3,Cell_type2,41548.2581754167,Group2
Cell2067,Cell2067,Sample3,Cell_type3,51011.3092331943,Group3
Cell2069,Cell2069,Sample3,Cell_type3,74487.576230892,Group3
Cell2071,Cell2071,Sample3,Cell_type1,63245.145100364,Group1
Cell2073,Cell2073,Sample3,Cell_type3,76251.6821571517,Group3
Cell2075,Cell2075,Sample3,Cell_type3,83513.4607889076,Group3
Cell2077,Cell2077,Sample3,Cell_type3,68567.1517671503,Group3
Cell2079,Cell2079,Sample3,Cell_type2,71336.7446803004,Group2
Cell2081,Cell2081,Sample3,Cell_type2,64144.5932390887,Group2
Cell2083,Cell2083,Sample3,Cell_type3,65163.4046083295,Group3
Cell2085,Cell2085,Sample3,Cell_type3,60242.3047412653,Group3
Cell2087,Cell2087,Sample3,Cell_type1,78707.5155711046,Group1
Cell2089,Cell2089,Sample3,Cell_type3,60902.9523628965,Group3
Cell2091,Cell2091,Sample3,Cell_type3,58731.4626716626,Group3
Cell2093,Cell2093,Sample3,Cell_type2,73450.1251731123,Group2
Cell2095,Cell2095,Sample3,Cell_type3,61912.2771883292,Group3
Cell2097,Cell2097,Sample3,Cell_type3,73404.1102243945,Group3
Cell2099,Cell2099,Sample3,Cell_type2,50307.4621960067,Group2
Cell2101,Cell2101,Sample3,Cell_type2,90584.1779352332,Group2
Cell2103,Cell2103,Sample3,Cell_type1,61857.8038040811,Group1
Cell2105,Cell2105,Sample3,Cell_type1,54282.2992948773,Group1
Cell2107,Cell2107,Sample3,Cell_type3,52743.2404030381,Group3
Cell2109,Cell2109,Sample3,Cell_type3,54557.842907563,Group3
Cell2111,Cell2111,Sample3,Cell_type1,55636.3462600241,Group1
Cell2113,Cell2113,Sample3,Cell_type3,61518.1479675834,Group3
Cell2115,Cell2115,Sample3,Cell_type2,75189.8141598846,Group2
Cell2117,Cell2117,Sample3,Cell_type1,46143.58263768,Group1
Cell2119,Cell2119,Sample3,Cell_type2,55023.6497856029,Group2
Cell2121,Cell2121,Sample3,Cell_type2,86774.2707102966,Group2
Cell2123,Cell2123,Sample3,Cell_type3,61969.1461061996,Group3
Cell2125,Cell2125,Sample3,Cell_type3,52789.4163629049,Group3
Cell2127,Cell2127,Sample3,Cell_type1,86103.8286020226,Group1
Cell2129,Cell2129,Sample3,Cell_type3,53207.4175894408,Group3
Cell2131,Cell2131,Sample3,Cell_type2,67255.5293487165,Group2
Cell2133,Cell2133,Sample3,Cell_type2,39990.7217460537,Group2
Cell2135,Cell2135,Sample3,Cell_type2,71837.4455417239,Group2
Cell2137,Cell2137,Sample3,Cell_type3,63546.641170976,Group3
Cell2139,Cell2139,Sample3,Cell_type1,44022.6647003641,Group1
Cell2141,Cell2141,Sample3,Cell_type3,65847.0786805196,Group3
Cell2143,Cell2143,Sample3,Cell_type3,50934.830898451,Group3
Cell2145,Cell2145,Sample3,Cell_type3,55051.2983313618,Group3
Cell2147,Cell2147,Sample3,Cell_type3,86013.3470959664,Group3
Cell2149,Cell2149,Sample3,Cell_type2,61859.4189272086,Group2
Cell2151,Cell2151,Sample3,Cell_type3,54297.9273817325,Group3
Cell2153,Cell2153,Sample3,Cell_type3,64473.6051643942,Group3
Cell2155,Cell2155,Sample3,Cell_type1,59781.6697744019,Group1
Cell2157,Cell2157,Sample3,Cell_type1,53220.6625033399,Group1
Cell2159,Cell2159,Sample3,Cell_type3,40307.2116154572,Group3
Cell2161,Cell2161,Sample3,Cell_type3,72453.4819517871,Group3
Cell2163,Cell2163,Sample3,Cell_type3,49757.7154246502,Group3
Cell2165,Cell2165,Sample3,Cell_type2,71507.4965690197,Group2
Cell2167,Cell2167,Sample3,Cell_type1,58110.4741433041,Group1
Cell2169,Cell2169,Sample3,Cell_type3,66313.0878907355,Group3
Cell2171,Cell2171,Sample3,Cell_type3,47122.8018507466,Group3
Cell2173,Cell2173,Sample3,Cell_type1,43552.1805957623,Group1
Cell2175,Cell2175,Sample3,Cell_type2,59803.6526925701,Group2
Cell2177,Cell2177,Sample3,Cell_type3,63998.8323590573,Group3
Cell2179,Cell2179,Sample3,Cell_type2,56705.9822846281,Group2
Cell2181,Cell2181,Sample3,Cell_type3,73503.1287645921,Group3
Cell2183,Cell2183,Sample3,Cell_type3,48561.0458298514,Group3
Cell2185,Cell2185,Sample3,Cell_type1,53508.6087466578,Group1
Cell2187,Cell2187,Sample3,Cell_type1,51756.3224194545,Group1
Cell2189,Cell2189,Sample3,Cell_type1,75858.8439729919,Group1
Cell2191,Cell2191,Sample3,Cell_type3,56613.4832249015,Group3
Cell2193,Cell2193,Sample3,Cell_type2,61861.4620224187,Group2
Cell2195,Cell2195,Sample3,Cell_type2,63647.6509625881,Group2
Cell2197,Cell2197,Sample3,Cell_type2,58501.5480112893,Group2
Cell2199,Cell2199,Sample3,Cell_type3,44190.2182142978,Group3
Cell2201,Cell2201,Sample3,Cell_type3,67159.0322428878,Group3
Cell2203,Cell2203,Sample3,Cell_type3,45060.6406361069,Group3
Cell2205,Cell2205,Sample3,Cell_type1,56433.4041761953,Group1
Cell2207,Cell2207,Sample3,Cell_type3,67930.0221389345,Group3
Cell2209,Cell2209,Sample3,Cell_type3,49858.5369181751,Group3
Cell2211,Cell2211,Sample3,Cell_type2,42148.509706167,Group2
Cell2213,Cell2213,Sample3,Cell_type3,61968.8760857195,Group3
Cell2215,Cell2215,Sample3,Cell_type1,34700.7463374158,Group1
Cell2217,Cell2217,Sample3,Cell_type2,56617.1882036902,Group2
Cell2219,Cell2219,Sample3,Cell_type2,56624.3554596684,Group2
Cell2221,Cell2221,Sample3,Cell_type3,71522.0700661759,Group3
Cell2223,Cell2223,Sample3,Cell_type2,50773.4197051211,Group2
Cell2225,Cell2225,Sample3,Cell_type3,44368.9298978524,Group3
Cell2227,Cell2227,Sample3,Cell_type3,41918.9269596214,Group3
Cell2229,Cell2229,Sample3,Cell_type1,74389.4446940487,Group1
Cell2231,Cell2231,Sample3,Cell_type3,33036.5454360561,Group3
Cell2233,Cell2233,Sample3,Cell_type3,55367.1799293833,Group3
Cell2235,Cell2235,Sample3,Cell_type2,56198.4229766888,Group2
Cell2237,Cell2237,Sample3,Cell_type3,50045.4392131271,Group3
Cell2239,Cell2239,Sample3,Cell_type3,69432.9178099006,Group3
Cell2241,Cell2241,Sample3,Cell_type1,56519.9668970253,Group1
Cell2243,Cell2243,Sample3,Cell_type2,56884.4361566675,Group2
Cell2245,Cell2245,Sample3,Cell_type3,66568.1873444551,Group3
Cell2247,Cell2247,Sample3,Cell_type3,51134.4360304321,Group3
Cell2249,Cell2249,Sample3,Cell_type1,44455.2636705926,Group1
Cell2251,Cell2251,Sample3,Cell_type3,62559.1583343205,Group3
Cell2253,Cell2253,Sample3,Cell_type2,66454.4812832296,Group2
Cell2255,Cell2255,Sample3,Cell_type2,40013.8630796631,Group2
Cell2257,Cell2257,Sample3,Cell_type2,77342.4219730575,Group2
Cell2259,Cell2259,Sample3,Cell_type2,37950.4947280485,Group2
Cell2261,Cell2261,Sample3,Cell_type1,64360.5134607859,Group1
Cell2263,Cell2263,Sample3,Cell_type3,47056.7073897043,Group3
Cell2265,Cell2265,Sample3,Cell_type3,66913.5497863395,Group3
Cell2267,Cell2267,Sample3,Cell_type3,72985.9874055105,Group3
Cell2269,Cell2269,Sample3,Cell_type2,44613.8168797086,Group2
Cell2271,Cell2271,Sample3,Cell_type3,65419.9905279035,Group3
Cell2273,Cell2273,Sample3,Cell_type2,46092.0731942432,Group2
Cell2275,Cell2275,Sample3,Cell_type3,60349.7978091345,Group3
Cell2277,Cell2277,Sample3,Cell_type3,75907.8644647525,Group3
Cell2279,Cell2279,Sample3,Cell_type3,63230.9859655158,Group3
Cell2281,Cell2281,Sample3,Cell_type3,74973.2284548739,Group3
Cell2283,Cell2283,Sample3,Cell_type3,59795.8279153816,Group3
Cell2285,Cell2285,Sample3,Cell_type3,42768.2891328753,Group3
Cell2287,Cell2287,Sample3,Cell_type3,65794.5268855002,Group3
Cell2289,Cell2289,Sample3,Cell_type1,86930.3475238796,Group1
Cell2291,Cell2291,Sample3,Cell_type2,71665.8480010761,Group2
Cell2293,Cell2293,Sample3,Cell_type2,65094.2093621372,Group2
Cell2295,Cell2295,Sample3,Cell_type3,43267.3144754717,Group3
Cell2297,Cell2297,Sample3,Cell_type3,79082.4457346373,Group3
Cell2299,Cell2299,Sample3,Cell_type3,67391.6554175951,Group3
Cell2301,Cell2301,Sample3,Cell_type2,88701.7043472357,Group2
Cell2303,Cell2303,Sample3,Cell_type2,75765.4400960071,Group2
Cell2305,Cell2305,Sample3,Cell_type1,50372.7702257394,Group1
Cell2307,Cell2307,Sample3,Cell_type1,55171.3508403242,Group1
Cell2309,Cell2309,Sample3,Cell_type3,51357.1763433829,Group3
Cell2311,Cell2311,Sample3,Cell_type1,60379.1649246887,Group1
Cell2313,Cell2313,Sample3,Cell_type3,69007.7219723713,Group3
Cell2315,Cell2315,Sample3,Cell_type3,74694.4618607646,Group3
Cell2317,Cell2317,Sample3,Cell_type3,65436.5438872539,Group3
Cell2319,Cell2319,Sample3,Cell_type3,55435.6255729552,Group3
Cell2321,Cell2321,Sample3,Cell_type2,50032.1803712472,Group2
Cell2323,Cell2323,Sample3,Cell_type3,42981.6810622366,Group3
Cell2325,Cell2325,Sample3,Cell_type3,58265.5342921382,Group3
Cell2327,Cell2327,Sample3,Cell_type1,64617.8372369163,Group1
Cell2329,Cell2329,Sample3,Cell_type1,60965.6159039296,Group1
Cell2331,Cell2331,Sample3,Cell_type3,67404.3858710198,Group3
Cell2333,Cell2333,Sample3,Cell_type3,46377.24704751,Group3
Cell2335,Cell2335,Sample3,Cell_type3,51397.0735586091,Group3
Cell2337,Cell2337,Sample3,Cell_type3,70771.9549841253,Group3
Cell2339,Cell2339,Sample3,Cell_type1,57310.5146791908,Group1
Cell2341,Cell2341,Sample3,Cell_type3,36654.6343199018,Group3
Cell2343,Cell2343,Sample3,Cell_type3,56702.4564130854,Group3
Cell2345,Cell2345,Sample3,Cell_type2,63516.6106042437,Group2
Cell2347,Cell2347,Sample3,Cell_type3,55483.0935395184,Group3
Cell2349,Cell2349,Sample3,Cell_type2,65934.7198811805,Group2
Cell2351,Cell2351,Sample3,Cell_type1,60693.8960642662,Group1
Cell2353,Cell2353,Sample3,Cell_type3,55370.4762759289,Group3
Cell2355,Cell2355,Sample3,Cell_type3,58594.097593854,Group3
Cell2357,Cell2357,Sample3,Cell_type2,65703.3361287166,Group2
Cell2359,Cell2359,Sample3,Cell_type1,46490.2821208329,Group1
Cell2361,Cell2361,Sample3,Cell_type1,83411.6624189147,Group1
Cell2363,Cell2363,Sample3,Cell_type1,66090.6848488643,Group1
Cell2365,Cell2365,Sample3,Cell_type3,58444.4672824521,Group3
Cell2367,Cell2367,Sample3,Cell_type3,46118.0032196619,Group3
Cell2369,Cell2369,Sample3,Cell_type3,56046.2902788936,Group3
Cell2371,Cell2371,Sample3,Cell_type1,63968.0038824522,Group1
Cell2373,Cell2373,Sample3,Cell_type3,47397.2121493154,Group3
Cell2375,Cell2375,Sample3,Cell_type2,68565.5201124742,Group2
Cell2377,Cell2377,Sample3,Cell_type3,53429.8940000721,Group3
Cell2379,Cell2379,Sample3,Cell_type3,49513.0892966991,Group3
Cell2381,Cell2381,Sample3,Cell_type2,62469.4114048829,Group2
Cell2383,Cell2383,Sample3,Cell_type2,96967.3257937119,Group2
Cell2385,Cell2385,Sample3,Cell_type1,57234.857997365,Group1
Cell2387,Cell2387,Sample3,Cell_type3,46756.3812637433,Group3
Cell2389,Cell2389,Sample3,Cell_type3,63440.2773844383,Group3
Cell2391,Cell2391,Sample3,Cell_type1,54250.3786376638,Group1
Cell2393,Cell2393,Sample3,Cell_type2,67194.1982230153,Group2
Cell2395,Cell2395,Sample3,Cell_type2,48840.935556574,Group2
Cell2397,Cell2397,Sample3,Cell_type2,63794.6764486485,Group2
Cell2399,Cell2399,Sample3,Cell_type3,64452.2894613578,Group3
Cell2401,Cell2401,Sample3,Cell_type1,46681.3224893311,Group1
Cell2403,Cell2403,Sample3,Cell_type2,54494.4731419252,Group2
Cell2405,Cell2405,Sample3,Cell_type3,57665.2409554062,Group3
Cell2407,Cell2407,Sample3,Cell_type2,60904.6299347076,Group2
Cell2409,Cell2409,Sample3,Cell_type2,46528.5581703569,Group2
Cell2411,Cell2411,Sample3,Cell_type3,49238.1925412332,Group3
Cell2413,Cell2413,Sample3,Cell_type1,88386.23679462,Group1
Cell2415,Cell2415,Sample3,Cell_type3,61439.7737242566,Group3
Cell2417,Cell2417,Sample3,Cell_type2,50280.9695173666,Group2
Cell2419,Cell2419,Sample3,Cell_type1,64231.4313380034,Group1
Cell2421,Cell2421,Sample3,Cell_type1,54111.9863860185,Group1
Cell2423,Cell2423,Sample3,Cell_type3,48025.5283985535,Group3
Cell2425,Cell2425,Sample3,Cell_type2,49815.9439227518,Group2
Cell2427,Cell2427,Sample3,Cell_type1,84492.0130302628,Group1
Cell2429,Cell2429,Sample3,Cell_type3,51289.6205235927,Group3
Cell2431,Cell2431,Sample3,Cell_type3,88185.3666898752,Group3
Cell2433,Cell2433,Sample3,Cell_type3,53345.6557917967,Group3
Cell2435,Cell2435,Sample3,Cell_type3,57689.9136066359,Group3
Cell2437,Cell2437,Sample3,Cell_type3,46790.3277858896,Group3
Cell2439,Cell2439,Sample3,Cell_type3,78019.3410764845,Group3
Cell2441,Cell2441,Sample3,Cell_type3,41314.9721326392,Group3
Cell2443,Cell2443,Sample3,Cell_type1,62450.0426785942,Group1
Cell2445,Cell2445,Sample3,Cell_type1,74031.1011076889,Group1
Cell2447,Cell2447,Sample3,Cell_type3,50212.9446492621,Group3
Cell2449,Cell2449,Sample3,Cell_type3,34434.8657004869,Group3
Cell2451,Cell2451,Sample3,Cell_type3,58588.0097363408,Group3
Cell2453,Cell2453,Sample3,Cell_type2,77868.1365732386,Group2
Cell2455,Cell2455,Sample3,Cell_type3,64715.2780101023,Group3
Cell2457,Cell2457,Sample3,Cell_type3,54222.2753327626,Group3
Cell2459,Cell2459,Sample3,Cell_type2,71188.6708921975,Group2
Cell2461,Cell2461,Sample3,Cell_type2,59361.6848629793,Group2
Cell2463,Cell2463,Sample3,Cell_type3,60538.7598540714,Group3
Cell2465,Cell2465,Sample3,Cell_type3,65113.5335917265,Group3
Cell2467,Cell2467,Sample3,Cell_type1,52832.2379001294,Group1
Cell2469,Cell2469,Sample3,Cell_type1,57172.5308260316,Group1
Cell2471,Cell2471,Sample3,Cell_type3,45422.7680743461,Group3
Cell2473,Cell2473,Sample3,Cell_type3,66010.2369996031,Group3
Cell2475,Cell2475,Sample3,Cell_type3,64022.9668619623,Group3
Cell2477,Cell2477,Sample3,Cell_type2,50175.4550443803,Group2
Cell2479,Cell2479,Sample3,Cell_type1,66246.1434405286,Group1
Cell2481,Cell2481,Sample3,Cell_type1,62121.7563694922,Group1
Cell2483,Cell2483,Sample3,Cell_type1,60374.3548152151,Group1
Cell2485,Cell2485,Sample3,Cell_type3,44195.5866405337,Group3
Cell2487,Cell2487,Sample3,Cell_type3,38346.1839645652,Group3
Cell2489,Cell2489,Sample3,Cell_type2,75656.6896731443,Group2
Cell2491,Cell2491,Sample3,Cell_type2,49171.7067731509,Group2
Cell2493,Cell2493,Sample3,Cell_type1,69494.6167597617,Group1
Cell2495,Cell2495,Sample3,Cell_type3,69788.1980536587,Group3
Cell2497,Cell2497,Sample3,Cell_type2,75181.0918709485,Group2
Cell2499,Cell2499,Sample3,Cell_type3,71547.2093592723,Group3
Cell2501,Cell2501,Sample3,Cell_type3,61924.7269586977,Group3
Cell2503,Cell2503,Sample3,Cell_type1,65319.0312251803,Group1
Cell2505,Cell2505,Sample3,Cell_type1,44393.773439919,Group1
Cell2507,Cell2507,Sample3,Cell_type2,70373.24745852,Group2
Cell2509,Cell2509,Sample3,Cell_type3,71832.332653912,Group3
Cell2511,Cell2511,Sample3,Cell_type3,74153.0688061607,Group3
Cell2513,Cell2513,Sample3,Cell_type2,88754.4344795096,Group2
Cell2515,Cell2515,Sample3,Cell_type3,91651.98348166,Group3
Cell2517,Cell2517,Sample3,Cell_type3,65612.7158173426,Group3
Cell2519,Cell2519,Sample3,Cell_type1,62911.5269153089,Group1
Cell2521,Cell2521,Sample3,Cell_type3,46776.2848163275,Group3
Cell2523,Cell2523,Sample3,Cell_type1,55904.8353865318,Group1
Cell2525,Cell2525,Sample3,Cell_type1,53541.0991733742,Group1
Cell2527,Cell2527,Sample3,Cell_type2,51030.8470513249,Group2
Cell2529,Cell2529,Sample3,Cell_type2,69522.2135221425,Group2
Cell2531,Cell2531,Sample3,Cell_type1,53616.1788825546,Group1
Cell2533,Cell2533,Sample3,Cell_type2,56468.4181524181,Group2
Cell2535,Cell2535,Sample3,Cell_type3,62146.5822132856,Group3
Cell2537,Cell2537,Sample3,Cell_type1,75900.5462658967,Group1
Cell2539,Cell2539,Sample3,Cell_type3,39511.7006147276,Group3
Cell2541,Cell2541,Sample3,Cell_type2,66381.6832077881,Group2
Cell2543,Cell2543,Sample3,Cell_type3,53566.9563232464,Group3
Cell2545,Cell2545,Sample3,Cell_type2,50678.1755747531,Group2
Cell2547,Cell2547,Sample3,Cell_type3,52704.1230713583,Group3
Cell2549,Cell2549,Sample3,Cell_type2,55831.8628068665,Group2
Cell2551,Cell2551,Sample3,Cell_type3,75792.474499159,Group3
Cell2553,Cell2553,Sample3,Cell_type3,69906.9324926258,Group3
Cell2555,Cell2555,Sample3,Cell_type3,73888.1484197759,Group3
Cell2557,Cell2557,Sample3,Cell_type3,64272.8822820747,Group3
Cell2559,Cell2559,Sample3,Cell_type1,79799.7990471474,Group1
Cell2561,Cell2561,Sample3,Cell_type3,67107.69208136,Group3
Cell2563,Cell2563,Sample3,Cell_type1,66685.2502282116,Group1
Cell2565,Cell2565,Sample3,Cell_type3,73349.1645738099,Group3
Cell2567,Cell2567,Sample3,Cell_type1,51620.076222661,Group1
Cell2569,Cell2569,Sample3,Cell_type3,47038.4244542471,Group3
Cell2571,Cell2571,Sample3,Cell_type1,74216.1662153148,Group1
Cell2573,Cell2573,Sample3,Cell_type3,52967.5275158468,Group3
Cell2575,Cell2575,Sample3,Cell_type3,70857.95038074,Group3
Cell2577,Cell2577,Sample3,Cell_type3,59562.5242202115,Group3
Cell2579,Cell2579,Sample3,Cell_type3,60887.5043621022,Group3
Cell2581,Cell2581,Sample3,Cell_type3,73001.3274813825,Group3
Cell2583,Cell2583,Sample3,Cell_type3,41606.2612788809,Group3
Cell2585,Cell2585,Sample3,Cell_type3,51439.0218805391,Group3
Cell2587,Cell2587,Sample3,Cell_type3,45652.6031962052,Group3
Cell2589,Cell2589,Sample3,Cell_type3,54307.5513052006,Group3
Cell2591,Cell2591,Sample3,Cell_type1,60965.9513471681,Group1
Cell2593,Cell2593,Sample3,Cell_type1,47027.3340499083,Group1
Cell2595,Cell2595,Sample3,Cell_type3,55395.4534801606,Group3
Cell2597,Cell2597,Sample3,Cell_type1,68362.0907561926,Group1
Cell2599,Cell2599,Sample3,Cell_type3,69078.2529377875,Group3
Cell2601,Cell2601,Sample3,Cell_type3,72646.0697825781,Group3
Cell2603,Cell2603,Sample3,Cell_type2,75414.7390186852,Group2
Cell2605,Cell2605,Sample3,Cell_type2,61181.204344079,Group2
Cell2607,Cell2607,Sample3,Cell_type1,57419.130449603,Group1
Cell2609,Cell2609,Sample3,Cell_type1,63604.5926503822,Group1
Cell2611,Cell2611,Sample3,Cell_type3,58840.6678424788,Group3
Cell2613,Cell2613,Sample3,Cell_type2,53989.6141759729,Group2
Cell2615,Cell2615,Sample3,Cell_type3,59255.7569091241,Group3
Cell2617,Cell2617,Sample3,Cell_type3,72139.7939738809,Group3
Cell2619,Cell2619,Sample3,Cell_type3,63216.3939254559,Group3
Cell2621,Cell2621,Sample3,Cell_type3,62274.6503751014,Group3
Cell2623,Cell2623,Sample3,Cell_type2,76510.3002127062,Group2
Cell2625,Cell2625,Sample3,Cell_type2,47108.371226028,Group2
Cell2627,Cell2627,Sample3,Cell_type3,81556.2851737857,Group3
Cell2629,Cell2629,Sample3,Cell_type2,74204.1058974943,Group2
Cell2631,Cell2631,Sample3,Cell_type2,71865.4700935302,Group2
Cell2633,Cell2633,Sample3,Cell_type2,75269.4093598307,Group2
Cell2635,Cell2635,Sample3,Cell_type2,63737.8189347954,Group2
Cell2637,Cell2637,Sample3,Cell_type3,51577.5728883004,Group3
Cell2639,Cell2639,Sample3,Cell_type3,93329.2623374559,Group3
Cell2641,Cell2641,Sample3,Cell_type3,56688.7244442569,Group3
Cell2643,Cell2643,Sample3,Cell_type3,54784.1898111058,Group3
Cell2645,Cell2645,Sample3,Cell_type3,68955.9063724068,Group3
Cell2647,Cell2647,Sample3,Cell_type2,41448.8766633225,Group2
Cell2649,Cell2649,Sample3,Cell_type3,75865.4530355125,Group3
Cell2651,Cell2651,Sample3,Cell_type3,62274.8130854539,Group3
Cell2653,Cell2653,Sample3,Cell_type3,99290.1917033329,Group3
Cell2655,Cell2655,Sample3,Cell_type2,53095.7471004058,Group2
Cell2657,Cell2657,Sample3,Cell_type3,77566.794229095,Group3
Cell2659,Cell2659,Sample3,Cell_type3,45223.1655164982,Group3
Cell2661,Cell2661,Sample3,Cell_type3,82203.7118580048,Group3
Cell2663,Cell2663,Sample3,Cell_type1,75329.5892793546,Group1
Cell2665,Cell2665,Sample3,Cell_type2,51499.3200319917,Group2
Cell2667,Cell2667,Sample3,Cell_type2,66590.8620236076,Group2
Cell2669,Cell2669,Sample3,Cell_type3,56972.4744787995,Group3
Cell2671,Cell2671,Sample3,Cell_type3,61721.6847956953,Group3
Cell2673,Cell2673,Sample3,Cell_type1,72652.1608081582,Group1
Cell2675,Cell2675,Sample3,Cell_type1,70672.2316148663,Group1
Cell2677,Cell2677,Sample3,Cell_type2,63044.6528756596,Group2
Cell2679,Cell2679,Sample3,Cell_type2,49574.3409541812,Group2
Cell2681,Cell2681,Sample3,Cell_type3,67103.7619211531,Group3
Cell2683,Cell2683,Sample3,Cell_type3,63587.589741924,Group3
Cell2685,Cell2685,Sample3,Cell_type1,66704.6767425492,Group1
Cell2687,Cell2687,Sample3,Cell_type1,60477.169345374,Group1
Cell2689,Cell2689,Sample3,Cell_type2,59343.5064492584,Group2
Cell2691,Cell2691,Sample3,Cell_type1,45309.516895413,Group1
Cell2693,Cell2693,Sample3,Cell_type3,76737.005134399,Group3
Cell2695,Cell2695,Sample3,Cell_type2,61637.6147868036,Group2
Cell2697,Cell2697,Sample3,Cell_type3,47290.1563358635,Group3
Cell2699,Cell2699,Sample3,Cell_type3,53881.3752538501,Group3
Cell2701,Cell2701,Sample3,Cell_type1,59969.4405605939,Group1
Cell2703,Cell2703,Sample3,Cell_type3,60125.2999811393,Group3
Cell2705,Cell2705,Sample3,Cell_type2,61060.8722593071,Group2
Cell2707,Cell2707,Sample3,Cell_type2,58204.9243533752,Group2
Cell2709,Cell2709,Sample3,Cell_type3,86842.6239373001,Group3
Cell2711,Cell2711,Sample3,Cell_type2,64864.7822260123,Group2
Cell2713,Cell2713,Sample3,Cell_type3,41944.6621180203,Group3
Cell2715,Cell2715,Sample3,Cell_type3,59079.7778266949,Group3
Cell2717,Cell2717,Sample3,Cell_type3,46684.3103919596,Group3
Cell2719,Cell2719,Sample3,Cell_type3,52809.5939868004,Group3
Cell2721,Cell2721,Sample3,Cell_type3,50935.3852583854,Group3
Cell2723,Cell2723,Sample3,Cell_type2,81436.4217969045,Group2
Cell2725,Cell2725,Sample3,Cell_type3,68946.7782874525,Group3
Cell2727,Cell2727,Sample3,Cell_type1,60620.4665740271,Group1
Cell2729,Cell2729,Sample3,Cell_type1,57397.9877289323,Group1
Cell2731,Cell2731,Sample3,Cell_type1,74263.3997000427,Group1
Cell2733,Cell2733,Sample3,Cell_type3,67218.8992686809,Group3
Cell2735,Cell2735,Sample3,Cell_type3,57002.8734512016,Group3
Cell2737,Cell2737,Sample3,Cell_type3,83924.5077542836,Group3
Cell2739,Cell2739,Sample3,Cell_type1,67729.4248996513,Group1
Cell2741,Cell2741,Sample3,Cell_type3,47821.8416792144,Group3
Cell2743,Cell2743,Sample3,Cell_type3,63885.903980934,Group3
Cell2745,Cell2745,Sample3,Cell_type3,53146.7226860591,Group3
Cell2747,Cell2747,Sample3,Cell_type2,46872.2543924837,Group2
Cell2749,Cell2749,Sample3,Cell_type1,66403.4301395139,Group1
Cell2751,Cell2751,Sample3,Cell_type2,78026.3890149309,Group2
Cell2753,Cell2753,Sample3,Cell_type3,80517.5614331425,Group3
Cell2755,Cell2755,Sample3,Cell_type2,82472.6144913483,Group2
Cell2757,Cell2757,Sample3,Cell_type3,73232.4466943728,Group3
Cell2759,Cell2759,Sample3,Cell_type3,59057.7166254842,Group3
Cell2761,Cell2761,Sample3,Cell_type2,62356.7803589005,Group2
Cell2763,Cell2763,Sample3,Cell_type3,57322.1672748884,Group3
Cell2765,Cell2765,Sample3,Cell_type2,61914.6908857687,Group2
Cell2767,Cell2767,Sample3,Cell_type2,67085.6543361964,Group2
Cell2769,Cell2769,Sample3,Cell_type3,66109.8256523917,Group3
Cell2771,Cell2771,Sample3,Cell_type2,65223.6080445423,Group2
Cell2773,Cell2773,Sample3,Cell_type3,45964.6642996951,Group3
Cell2775,Cell2775,Sample3,Cell_type2,67974.816744847,Group2
Cell2777,Cell2777,Sample3,Cell_type3,65576.9719970968,Group3
Cell2779,Cell2779,Sample3,Cell_type3,44783.496209965,Group3
Cell2781,Cell2781,Sample3,Cell_type3,69985.7366358758,Group3
Cell2783,Cell2783,Sample3,Cell_type2,57629.3262378112,Group2
Cell2785,Cell2785,Sample3,Cell_type1,97472.1089774603,Group1
Cell2787,Cell2787,Sample3,Cell_type3,99675.5188755962,Group3
Cell2789,Cell2789,Sample3,Cell_type3,52515.4148609294,Group3
Cell2791,Cell2791,Sample3,Cell_type1,65174.0126415758,Group1
Cell2793,Cell2793,Sample3,Cell_type2,39344.2636756588,Group2
Cell2795,Cell2795,Sample3,Cell_type1,75159.2138624195,Group1
Cell2797,Cell2797,Sample3,Cell_type3,71565.4495829521,Group3
Cell2799,Cell2799,Sample3,Cell_type3,82034.7548613531,Group3
Cell2801,Cell2801,Sample3,Cell_type3,57105.7553604926,Group3
Cell2803,Cell2803,Sample3,Cell_type2,53059.7407709273,Group2
Cell2805,Cell2805,Sample3,Cell_type3,66862.5948882813,Group3
Cell2807,Cell2807,Sample3,Cell_type3,65282.3789798322,Group3
